"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ACTA THERIOLOGICA SINICA","1000-1050","1000-1050","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717","","Zoology"
"ACTA TROPICA","0001-706X","1873-6254","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Tropical Medicine | Parasitology"
"ACTA UNIVERSITATIS AGRICULTURAE ET SILVICULTURAE MENDELIANAE BRUNENSIS","1211-8516","2464-8310","USTREDNI KNIHOVNA MZLU V BRNE","ZEMEDELSKA 1, BRNO, CZECH REPUBLIC, 613 00","English","Agriculture, Multidisciplinary"
"ACTA UNIVERSITATIS LODZIENSIS FOLIA BIOLOGICA ET OECOLOGICA","1730-2366","2083-8484","WYDAWNICTWO UNIWERSYTETU LODZKIEGO","UL JARACZA, LODZ, POLAND, 90-262","","Biology"
"ACTA VETERINARIA-BEOGRAD","0567-8315","1820-7448","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","English","Veterinary Sciences"
"ACTA VETERINARIA BRASILICA","1981-5484","1981-5484","PRO-REITORIA PESQUISA POS-GRADUACO-UFERSA","ACTA VETERINARIA BRASILICA, BR 110 KM 47, MOSSORO RN, BRAZIL, CEP 59625900","English, Portuguese, Spanish","Veterinary Sciences"
"ACTA VETERINARIA BRNO","0001-7213","1801-7576","VETERINARNI A FARMACEUTICKA UNIVERZITA BRNO","PALACKEHO 1-3, BRNO, CZECH REPUBLIC, CS-612 42","Multi-Language","Veterinary Sciences"
"ACTA VETERINARIA EURASIA","2618-639X","2619-905X","ISTANBUL UNIV-CERRAHPASA","ISTANBUL UNIV-CERRAHPASA, ISTANBUL, Turkey, AVCILAR, 34320","English","Veterinary Sciences"
"ACTA VETERINARIA HUNGARICA","0236-6290","1588-2705","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","English","Veterinary Sciences"
"ACTA ZOOBOT AUSTRIA","2409-367X","","ZOOLOGISCH-BOTANISCHE GESELLSCHAFT IN OESTERREICH","ALTHANSTRASSE 14, VIENNA, AUSTRIA,","","Plant Sciences | Zoology"
"ACTA ZOOLOGICA","0001-7272","1463-6395","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","Multi-Language","Anatomy & Morphology | Zoology"
